molecules_names,smiles_formats
mol212,CCCN(CC)c1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol76,Nc1nccc(-c2cnc([C@H]3CCNC(O)(O)C3)s2)n1
mol102,Nc1ncc(-c2ccccc2)c(-c2cnc(C3CCNCC3)s2)n1
mol215,CNc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol269,COc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@@H](S)N[C@@H](C)[C@@H]2C)s1
mol78,CCOC1(OCC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol170,Nc1nc(-c2cnc(C3=CCNC(I)(I)C3)s2)cc([N+](=O)[O-])n1
mol267,C[C@@H]1N[C@H](S)C[C@@H](c2ncc(-c3nc(N)nc(C=O)c3O)s2)[C@H]1C
mol177,CCOC(=O)C1(C(=O)OCC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol260,COC(=O)[C@@H]1C[C@@H](c2ncc(-c3cc(C#N)nc(N)n3)s2)[C@@H](C)CN1
mol271,C[C@H]1NCC[C@@H](c2ncc(-c3nc(N)nc(C=O)c3O)s2)[C@@H]1C1CC1
mol166,Nc1nc(-c2cnc([C@H]3CCNC(C(Cl)(Cl)Cl)(C(Cl)(Cl)Cl)C3)s2)cc([N+](=O)[O-])n1
mol12,Nc1nccc(-c2cnc([C@@H]3CCNCC3(CC3CC3)CC3CC3)s2)n1
mol69,Nc1nccc(-c2cnc([C@H]3CCNC(S)(S)C3)s2)n1
mol276,CSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2CCN[C@H](C)[C@H]2C2CC2)s1
mol161,Nc1nc(-c2cnc([C@H]3CCN[C@@H](F)C3)s2)cc([N+](=O)[O-])n1
mol15,CC1(C)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol204,CO[C@@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol113,CC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol67,Nc1nccc(-c2cnc([C@H]3CCNC(C(=O)O)(C(=O)O)C3)s2)n1
mol278,CCSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@H](F)N[C@H](C)[C@H]2C2CC2)s1
mol168,Nc1nc(-c2cnc([C@H]3CCNC(Br)(Br)C3)s2)cc([N+](=O)[O-])n1
mol203,COC1(OC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol114,CCC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol60,Nc1nccc(-c2cnc([C@H]3CCNC(C(Cl)(Cl)Cl)(C(Cl)(Cl)Cl)C3)s2)n1
mol29,Nc1nccc(-c2cnc([C@@H]3CCNC(CC4CC4)(CC4CC4)C3)s2)n1
mol55,CO[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol121,CCNC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol236,CC[C@H]1C(c2ncc(-c3cc(C=O)nc(N)n3)s2)=C[C@H](I)N[C@@H]1C
mol52,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](Oc4ccccc4)C3)s2)n1
mol126,CC(C)(C)C1(C(C)(C)C)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol83,Nc1nccc(-c2cnc(C3=C[C@@](O)(I)NC=C3)s2)n1
mol231,CC[C@@H]1[C@@H](C)NCC[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol128,CC(C)C1(C(C)C)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol20,CC(C)[C@@H]1C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol154,CCC1(CC)C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol185,Nc1nc(-c2cnc([C@H]3CCN[C@@H](S)C3)s2)cc([N+](=O)[O-])n1
mol243,CC[C@@H]1[C@@H](C)N[C@@H](C(=O)OC)C[C@H]1c1ncc(-c2nc(N)nc(C=O)c2OC)s1
mol295,CCC1(CC)CN[C@H](S)C[C@H]1c1ncc(-c2nc(N)nc([N+](=O)[O-])c2OC)s1
mol27,CC(C)(C)C1(C(C)(C)C)C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol153,CC[C@H]1C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol182,Nc1nc(-c2cnc([C@H]3CCNC(C(=O)O)(C(=O)O)C3)s2)cc([N+](=O)[O-])n1
mol244,CCOc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@H](C(=O)OC)N[C@H](C)[C@H]2CC)s1
mol238,CC[C@@H]1[C@@H](C)N[C@@H](C(Cl)(Cl)Cl)C[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol209,CN(C)c1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol275,C[C@H]1NCC[C@@H](c2ncc(-c3nc(N)nc(C=O)c3S)s2)[C@@H]1C1CC1
mol16,CCC1(CC)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol162,Nc1nc(-c2cnc([C@H]3CCNC(F)(F)C3)s2)cc([N+](=O)[O-])n1
mol272,COc1c(C=O)nc(N)nc1-c1cnc([C@@H]2CCN[C@H](C)[C@H]2C2CC2)s1
mol11,CC(C)C1(C(C)C)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol165,Nc1nc(-c2cnc([C@H]3CCN[C@@H](C(Cl)(Cl)Cl)C3)s2)cc([N+](=O)[O-])n1
mol119,CCCS(=O)(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol63,N#CC1(C#N)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol117,CS(=O)(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol207,CCO[C@]1(OC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol64,COC(=O)C1(C(=O)OC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol110,Nc1nccc(-c2sc(C3CCNCC3)nc2C=O)n1
mol18,CC(C)(C)C1(C(C)(C)C)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol125,CC(C)(C)[C@H]1CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol51,CCCS(=O)(=O)[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
